"Romanelli, Thiago Liborio (Author)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timespan:1900-2022. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results found,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of the Times Cited,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Citations per Item,10.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-index,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Water, Energy, and Carbon Footprints of Bioethanol from the US and Brazil","Mekonnen, Mesfin M.; Romanelli, Thiago L.; Ray, Chittaranjan; Hoekstra, Arjen Y.; Liska, Adam J.; Neale, Christopher M. U.",,,,ENVIRONMENTAL SCIENCE & TECHNOLOGY,DEC 18 2018,2018,52,24,,,,14508,14518,,10.1021/acs.est.8b03359,,,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,13,3
Energy demand and greenhouse gases emissions in the life cycle of tractors,"Mantoam, Edemilson J.; Romanelli, Thiago L.; Gimenez, Leandro M.",,,,BIOSYSTEMS ENGINEERING,NOV 2016,2016,151,,,,,158,170,,10.1016/j.biosystemseng.2016.08.028,,,20,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,8,3,0
Energy embodiment in Brazilian agriculture: an overview of 23 crops,"Soto Veiga, Joao Paulo; Romanelli, Thiago Liborio; Gimenez, Leandro Maria; Busato, Patrizia; Milan, Marcos",,,,SCIENTIA AGRICOLA,NOV-DEC 2015,2015,72,6,,,,471,477,,10.1590/0103-9016-2015-0188,,,18,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,5,0
Material flow determination through agricultural machinery management,"Romanelli, Thiago Liborio; Milan, Marcos",,,,SCIENTIA AGRICOLA,2010,2010,67,4,,,,375,383,,10.1590/S0103-90162010000400001,,,18,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,2,3,0,1,2,1,0
Cost of boundary manoeuvres in sugarcane production,"Spekken, Mark; Molin, Jose P.; Romanelli, Thiago L.",,,,BIOSYSTEMS ENGINEERING,JAN 2015,2015,129,,,,,112,126,,10.1016/j.biosystemseng.2014.09.007,,,17,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,0,6,3,0
Capacity of the mechanical harvesting process of sugar cane billets,"Peloia, Paulo Rodrigues; Milan, Marcos; Romanelli, Thiago Liborio",,,,SCIENTIA AGRICOLA,2010,2010,67,6,,,,619,623,,10.1590/S0103-90162010000600001,,,17,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,2,3,1,3,1,0
"Variability and limitations of maize production in Brazil: Potential yield, water-limited yield and yield gaps","Andrea, Maria Carolina da S.; Boote, Kenneth J.; Sentelhas, Paulo C.; Romanelli, Thiago L.",,,,AGRICULTURAL SYSTEMS,SEP 2018,2018,165,,,,,264,273,,10.1016/j.agsy.2018.07.004,,,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,2
Energy performance of a production system of eucalyptus,"Romanelli, Thiago L.; Milan, Marcos",,,,REVISTA BRASILEIRA DE ENGENHARIA AGRICOLA E AMBIENTAL,2010,2010,14,8,,,,896,903,,10.1590/S1415-43662010000800015,,,15,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,0,1,3,1,3,0
Energy balance methodology and modeling of supplementary forage production for cattle in Brazil,"Romanelli, TL; Milan, M",,,,SCIENTIA AGRICOLA,JAN-FEB 2005,2005,62,1,,,,1,7,,10.1590/S0103-90162005000100001,,,15,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,1,1,0,1,2,0,1,0,0
Triple-bottom-line assessment of Sao Paulo state's sugarcane production based on a Brazilian multi-regional input-output matrix,"Soto Veiga, Joao Paulo; Malik, Arunima; Lenzen, Manfred; de Souza Ferreira Filho, Joaquim Bento; Romanelli, Thiago Liborio",,,,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,FEB 2018,2018,82,,1,,,666,680,,10.1016/j.rser.2017.09.075,,,14,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,0
Energy flow in the soybean biodiesel production chain using ethanol as solvent extraction of oil from soybeans,"Sangaletti-Gerhard, Naiane; Romanelli, Thiago Liborio; Ferreira de Souza Vieira, Thais Maria; Navia, Rodrigo; Bismara Regitano-d'Arce, Marisa Aparecida",,,,BIOMASS & BIOENERGY,JUL 2014,2014,66,,,,,39,48,,10.1016/j.biombioe.2014.04.004,,,11,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,4,0,0
MATERIAL EMBODIMENT AND ENERGY FLOWS AS EFFICIENCY INDICATORS OF SOYBEAN (Glycine max) PRODUCTION IN BRAZIL,"Romanelli, Thiago L.; Nardi, Hudson de S.; Saad, Filipe A.",,,,ENGENHARIA AGRICOLA,MAR-APR 2012,2012,32,2,,,,261,270,,10.1590/S0100-69162012000200006,,,9,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,2,0,0,1,0
"Emergy synthesis of intensive eucalyptus cultivation in Sao Paolo, Brazil","Romanelli, T. L.; Cohen, M. J.; Milan, M.; Brown, M. T.",,,,FOREST SCIENCE,APR 2008,2008,54,2,,,,228,241,,,,,9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,1,1,0,1,0
Embodied energy associated with the materials used in irrigation systems: Drip and centre pivot,"Diotto, A. V.; Folegatti, M. V.; Duarte, S. N.; Romanelli, T. L.",,,,BIOSYSTEMS ENGINEERING,MAY 2014,2014,121,,,,,38,45,,10.1016/j.biosystemseng.2014.02.002,,,8,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,0,0
Embodied energy of sugarcane harvesters,"Mantoam, Edemilson J.; Milan, Marcos; Gimenez, Leandro M.; Romanelli, Thiago L.",,,,BIOSYSTEMS ENGINEERING,FEB 2014,2014,118,,,,,156,166,,10.1016/j.biosystemseng.2013.12.003,,,8,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,1,0
Mitigation of greenhouse gas emissions using exergy,"Soto Veiga, Joao Paulo; Romanelli, Thiago Liborio",,,,JOURNAL OF CLEANER PRODUCTION,JUL 1 2020,2020,260,,,,,,,121092,10.1016/j.jclepro.2020.121092,,,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
Modeling cost and energy demand in agricultural machinery fleets for soybean and maize cultivated using a no-tillage system,"Tieppo, Rafael Cesar; Romanelli, Thiago Liborio; Milan, Marcos; Sorensen, Claus Aage Gron; Bochtis, Dionysis",,,,COMPUTERS AND ELECTRONICS IN AGRICULTURE,JAN 2019,2019,156,,,,,282,292,,10.1016/j.compag.2018.11.032,,,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
Energy flow in castor bean (Ricinus communis L.) production systems,"da Silva, Adilson Nunes; Romanelli, Thiago Liborio; Reichardt, Klaus",,,,SCIENTIA AGRICOLA,2010,2010,67,6,,,,737,742,,10.1590/S0103-90162010000600018,,,5,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0
A cost prediction model for machine operation in multi-field production systems,"Sopegno, Alessandro; Busato, Patrizia; Berruto, Remigio; Romanelli, Thiago Liborio",,,,SCIENTIA AGRICOLA,SEP-OCT 2016,2016,73,5,,,,397,405,,10.1590/0103-9016-2015-0304,,,4,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
ENERGY DEMAND IN CITRUS PRODUCTION UNDER VARIED OPERATIONAL EFFICIENCY VALUES,"Franco Junior, Nelson C.; Milan, Marcos; Romanelli, Thiago L.",,,,ENGENHARIA AGRICOLA,JUL-AUG 2014,2014,34,4,,,,746,754,,10.1590/S0100-69162014000400014,,,3,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"Economic viability, energy and nutrient balances of site-specific fertilisation for citrus","Colaco, Andre F.; Pagliuca, Larissa G.; Romanelli, Thiago L.; Molina, Jose P.",,,,BIOSYSTEMS ENGINEERING,DEC 2020,2020,200,,,,,138,156,,10.1016/j.biosystemseng.2020.09.007,,,2,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Energy flows in lowland soybean production system in Brazil,"da Silva Andrea, Maria Carolina; Romanelli, Thiago Liborio; Molin, Jose Paulo",,,,CIENCIA RURAL,AUG 2016,2016,46,8,,,,1395,1400,,10.1590/0103-8478cr20151298,,,2,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Sustainability Performance through Technology Adoption: A Case Study of Land Leveling in a Paddy Field,"Quiros-Vargas, Juan; Romanelli, Thiago Liborio; Rascher, Uwe; Aguero, Jose",,,,AGRONOMY-BASEL,NOV 2020,2020,10,11,,,,,,1681,10.3390/agronomy10111681,,,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Energy and economic performances of stump and roots removal of eucalyptus for bioenergy,"Angnes, Graciele; de Almeida, Bruno Oliveira; Milan, Marcos; Romanelli, Thiago Liborio",,,,BIOMASS & BIOENERGY,OCT 2021,2021,153,,,,,,,106229,10.1016/j.biombioe.2021.106229,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Water, Energy, and Carbon Footprints of Bioethanol from the US and Brazil (vol 52, pg 14508, 2018)","Mekonnen, Mesfin M.; Romanelli, Thiago L.; Ray, Chittaranjan; Hoekstra, Arjen Y.; Liska, Adam J.; Neale, Christopher M. U.",,,,ENVIRONMENTAL SCIENCE & TECHNOLOGY,JUN 16 2020,2020,54,12,,,,7734,7734,,10.1021/acs.est.0c03166,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
